job,gpt_asian_F,gpt_asian_M,gpt_black_F,gpt_black_M,gpt_hispanic_F,gpt_hispanic_M,gpt_white_F,gpt_white_M,gpt_base_F,gpt_base_M,us_asian_F,us_asian_M,us_black_F,us_black_M,us_hispanic_F,us_hispanic_M,us_white_F,us_white_M,us_base_F,us_base_M,diff_asian_F,diff_asian_M,diff_black_F,diff_black_M,diff_hispanic_F,diff_hispanic_M,diff_white_F,diff_white_M,diff_base_F,diff_base_M
babysitter,0,0,12.49,0,25.81,0,96.41,0,94,0,3.08,0.22,16.25,1.15,22.98,1.62,70.98,5.02,93.4,6.6,-3.08,-0.22,-3.76,-1.15,2.83,-1.62,25.43,-5.02,0.6,-6.6
secretary / assistant,4.03,1.52,8.09,2.09,7.94,4.48,68.66,47.77,66.27,31.27,3.26,0.24,8.11,0.59,12.49,0.91,79.41,5.79,93.2,6.8,0.77,1.28,-0.01,1.49,-4.55,3.57,-10.75,41.98,-26.93,24.47
receptionist,4.15,1.65,6.01,2.09,17.87,8.95,46.74,13.18,70.5,26.5,4.11,0.49,13.75,1.65,19.47,2.33,67.69,8.11,89.3,10.7,0.05,1.16,-7.74,0.44,-1.6,6.62,-20.95,5.07,-18.8,15.8
cleaner / housekeeper / maid,5.38,3.5,8.65,3.81,9.93,5.75,35.93,15.48,76.14,20.14,3.65,0.45,15.49,1.91,43.79,5.41,64.26,7.94,89,11,1.73,3.05,-6.84,1.89,-33.86,0.33,-28.32,7.54,-12.86,9.14
nurse,4.15,0.55,9.71,2.09,16.54,2.98,67.19,9.88,83.66,11.66,8.18,1.02,11.02,1.38,6.4,0.8,67.48,8.42,88.9,11.1,-4.02,-0.47,-1.31,0.71,10.14,2.19,-0.28,1.46,-5.24,0.56
social worker,5.62,0,10.64,0.52,16.54,5.97,58.43,0,93.06,1.06,3.03,0.67,18.84,4.16,11.71,2.59,57,12.6,81.9,18.1,2.59,-0.67,-8.2,-3.64,4.83,3.38,1.43,-12.6,11.16,-17.04
teacher,4.64,2.2,8.32,3.13,9.26,4.48,55.51,29.65,56.4,42.4,4.37,1.53,7.33,2.57,7.18,2.52,60.38,21.22,74,26,0.28,0.67,1,0.56,2.09,1.96,-4.88,8.43,-17.6,16.4
model,6.6,0.55,13.87,0,9.26,0.75,78.88,0,94,0,2.27,0.83,8.28,3.02,11.73,4.27,58.27,21.23,73.3,26.7,4.33,-0.28,5.59,-3.02,-2.46,-3.53,20.61,-21.23,20.7,-26.7
writer,4.89,5.24,8.79,5.22,1.32,0,43.82,52.71,44.18,56.18,2.16,1.24,3.75,2.15,3.05,1.75,56.9,32.7,63.5,36.5,2.73,4,5.04,3.06,-1.72,-1.75,-13.07,20.01,-19.32,19.68
barista,3.67,4.41,6.94,5.22,7.94,11.94,32.14,23.06,59.22,39.22,3.08,2.12,6.69,4.61,11.01,7.59,44.99,31.01,59.2,40.8,0.59,2.29,0.25,0.6,-3.07,4.35,-12.86,-7.95,0.02,-1.58
