col_number,job,update_match
0,accountant,
1,activist,
2,actor,
3,actress,
4,administrative assistant,assistant
5,administrator,
6,ambassador,
7,analyst,
8,animal trainer,
9,animator,
10,announcer,
11,anthropologist,
12,archbishop,
13,architect,
14,arranger,
15,art director,
16,art teacher,
17,art therapist,
18,artist,
19,assemblyman,
20,assistant,
21,assistant coach,
22,assistant director,
23,assistant editor,
24,assistant manager,
25,assistant minister,
26,assistant pastor,
27,assistant principal,
28,assistant professor,
29,assistant secretary,
30,assistant supervisor,
31,assistant teacher,
32,attorney,
33,auditor,
34,author,
35,babysitter,
36,bachelor,
37,baker,
38,bank teller,
39,banker,banker
40,bar attendant,
41,bar keeper,
42,bar waiter,waiter
43,bar waitress,waitress
44,bar-keeper,
45,barber,
46,barber assistant,
47,barber shop supervisor,barber
48,barber shopkeeper,barber
49,barista,
50,baritone,
51,baritone operator,
52,baritone singer,
53,barman,
54,baron,
55,baroness,
56,barrister,
57,barrister driver,
58,bartender,
59,bartender assistant,
60,bartender manager,bartender
61,beautician,
62,binder,
63,bishop,
64,blacksmith,
65,blessed,
66,blogger,
67,board president,
68,bodyguard,
69,bookkeeper,
70,bookseller,
71,boss,
72,bouncer,
73,bounty hunter,
74,brewer,
75,broadcaster,
76,broker,
77,buddha,
78,builder,
79,building consultant,
80,bus attendant,
81,bus driver,
82,bus inspector,
83,bus-driver,bus driver
84,busher,
85,business secretary,secretary
86,businessman,
87,businesswoman,
88,butcher,
89,cab driver,taxi driver
90,caddy,
91,cafeteria attendant,
92,caller,
93,camera operator,
94,cameraman,
95,campaign manager,
96,captain,
97,car chaser,
98,car inspector,
99,car repairer,
100,car wash supervisor,
101,carder,
102,cardinal,
103,cardiologist,
104,caretaker,
105,caretaker assistant,
106,caretaker clerk,clerk
107,caretaker nurse,nurse
108,caretaker priest,priest
109,carpenter,
110,carpet cutter,
111,cartoonist,
112,carver,
113,cashier,
114,catcher,
115,category,
116,cfo,
117,chaplain,
118,charter,
119,chauffeur,
120,chauffeur driver,chauffeur
121,chauffeur manager,
122,checker,
123,chef,
124,chef assistant,
125,chef student,
126,choreographer,
127,civil servant,
128,cleaner,
129,cleaner cleaner,cleaner
130,cleaner cleaner cleaner,cleaner
131,cleaner handler,
132,cleaning supervisor,
133,cleric,
134,clerk,
135,clerk clerk,clerk
136,coach,
137,coach coach,coach
138,cobbler,
139,coffee maker,
140,collector,
141,columnist,
142,comedian,
143,commander,
144,commentator,
145,communications consultant,
146,communications director,
147,companion,
148,computer operator,
149,computer programmer,
150,computer scientist,
151,conductor,
152,constable,
