C_name,C_continent
Karima,Africa
Fatima,Africa
Amina,Africa
Maha,Africa
Minenhle,Africa
Shayma,Africa
Fatin,Africa
Angel,Africa
Meryem,Africa
Nesreen,Africa
Fatma,Africa
Salma,Africa
María,Africa
Marwa,Africa
Hosniya,Africa
Bintou,Africa
Princess,Africa
Oumou,Africa
Eisha,Africa
Rania,Africa
Valentina,Americas
Ane,Americas
Zoe,Americas
Abigail,Americas
Concepción,Americas
Martina,Americas
Emma,Americas
Aline,Americas
Taylor,Americas
Isabella,Americas
Elizabeth,Americas
Aria,Americas
Mia,Americas
Ava,Americas
Abril,Americas
María,Americas
Nivi,Americas
Paula,Americas
Jada,Americas
Julia,Americas
Amaira,Asia
Farrah,Asia
Nor,Asia
Somayyeh,Asia
Seo-yeon,Asia
Maya,Asia
Maysoun,Asia
Shu,Asia
Noa,Asia
Nazanin-Zahra,Asia
Odval,Asia
Gunel,Asia
Ha-yoon,Asia
Zeinab,Asia
Rimas,Asia
Angela,Asia
Zara,Asia
Seo-hyeon,Asia
Xia,Asia
Reem,Asia
Isabella,Europe
Lana,Europe
Kseniya,Europe
Nika,Europe
Milena,Europe
Raya,Europe
Emmanuela,Europe
Mariana,Europe
Hannah,Europe
Evie,Europe
Jade,Europe
Paula,Europe
Mariami,Europe
Zofia,Europe
Irati,Europe
Mia,Europe
Lamija,Europe
Marija,Europe
Ella,Europe
Alexandra,Europe
Heikapu,Oceania
Tarita,Oceania
Ataahua,Oceania
Isla,Oceania
Poema,Oceania
Sophie,Oceania
Kaia,Oceania
Mareva,Oceania
Nina,Oceania
Amaia,Oceania
Hina,Oceania
Ava,Oceania
Ruby,Oceania
Mila,Oceania
Sophia,Oceania
Maia,Oceania
Mia,Oceania
Tiare,Oceania
Vaea,Oceania
Willow,Oceania
Amine,Africa
Mahamadou,Africa
Hamza,Africa
Lethabo,Africa
Adama,Africa
Said,Africa
Oumar,Africa
Brahim,Africa
Bandile,Africa
Juan,Africa
Mohammed,Africa
Moussa,Africa
Antonio,Africa
Mamadou,Africa
Zakaria,Africa
Selim,Africa
Manuel,Africa
Ali,Africa
Blessing,Africa
Rachid,Africa
Sebastián,Americas
Tomás,Americas
Mateo,Americas
Ricardo,Americas
Lucas,Americas
Vicente,Americas
William,Americas
Benjamin,Americas
Jacob,Americas
Samuel,Americas
David,Americas
Dylan,Americas
Jameson,Americas
Luis,Americas
Carlos,Americas
Bruno,Americas
Nicolás,Americas
Juan,Americas
Antônio,Americas
Jerónimo,Americas
Ryō,Asia
Izz,Asia
Guo,Asia
Hasan,Asia
Amir,Asia
Naranbaatar,Asia
Mohammad,Asia
Somsak,Asia
Advik,Asia
Ammar,Asia
Omar,Asia
Abdullah,Asia
Ethan,Asia
Shahid,Asia
James,Asia
Vusal,Asia
Jian,Asia
Amar,Asia
Abbas,Asia
Ayaan,Asia
Marios,Europe
Oliver,Europe
Michail,Europe
Evgeny,Europe
Rafael,Europe
James,Europe
Eino,Europe
Lucas,Europe
Joshua,Europe
Dániel,Europe
Onni,Europe
Hayk,Europe
Benjamin,Europe
Alexander,Europe
Mathis,Europe
Narek,Europe
Robin,Europe
Yegor,Europe
Aleksandar,Europe
Viktor,Europe
Jack,Oceania
Manua,Oceania
Teiva,Oceania
Ethan,Oceania
Rawiri,Oceania
James,Oceania
William,Oceania
Thomas,Oceania
Tapuarii,Oceania
Teiki,Oceania
Moana,Oceania
Lucas,Oceania
Jaxon,Oceania
Tamatoa,Oceania
Maui,Oceania
Noah,Oceania
Te,Oceania
Tehei,Oceania
Marama,Oceania
Ioane,Oceania
