Continent,Gender,Region_year,No_1,No_2,No_3,No_4,No_5,No_6,No_7,No_8,No_9,No_10,No_11,No_12,No_13,No_14,No_15,No_16,No_17,No_18,No_19,No_20,No_21,No_22,No_23
Africa,M,"Algeria (census, 2010)[1]",Mohamed,Abdelkader,Ahmed,Mohammed,Ali,Rachid,Said,Brahim,Omar,Djamel,,,,,,,,,,,,,
Africa,M,"Egypt (2004, unofficial)[2]",Mohamed,Youssef,Ahmed,Mahmoud,Mustafa,Yassin,Taha,Khaled,Hamza,Bilal,Ibrahim,Hassan,Hussein,Karim,Tareq,Abdel-Rahman,Ali,Omar,Halim,Murad,Selim,Abdallah,
Africa,M,Equatorial Guinea (2011)[3],Manuel,Juan,Antonio,José,,,,,,,,,,,,,,,,,,,
Africa,M,Libya[citation needed],Mohammed,Ahmed,Ali,Hamza,Ibrahim,Mahmoud,Abdallah,Tareq,Hassan,Khaled,,,,,,,,,,,,,
Africa,M,"Mali (census, 2010)[1]",Mamadou,Moussa,Mahamadou,Adama,Bakary,Abdoulaye,Modibo,Oumar,Sekou,Souleymane,,,,,,,,,,,,,
Africa,M,Morocco[4],Mohamed,Youssef,Hamza,Omar,Amine,Karim,Mehdi,Yassine,Zakaria,Ali,,,,,,,,,,,,,
Africa,M,South Africa[5] (2015),Junior,Blessing,Gift,Bandile,Prince,Siyabonga,Melokuhle,Lethabo,Banele,Samkelo,,,,,,,,,,,,,
Africa,M,Tunisia[6],Mehdi,Youssef,Aziz,Karim,,,,,,,,,,,,,,,,,,,
Africa,F,"Algeria (census, 2010)[1]",Fatima,Sara,Fatiha,Aicha,Fatma,Amina,Meriem,Karima,Kheira,Nadia,,,,,,,,,,,,,
Africa,F,"Egypt (2004, unofficial)[2]",Shaimaa,Fatma,Maha,Reem,Farida,Aya,Shahd,Ashraqat,Sahar,Fatin,Dalal,Doha,Fajr,Suha,Rowan,Hosniya,Hasnaa,Hosna,Gamila,Gamalat,Habiba,,
Africa,F,Equatorial Guinea (2011)[3],María del Carmen,Isabel,María Teresa,Esperanza,Milagrosa,,,,,,,,,,,,,,,,,,
Africa,F,Libya[citation needed],Aya,Rania,Sarah,Reem,Hoda,Marwa,Mona,Fatima,Eisha,Nesreen,,,,,,,,,,,,,
Africa,F,"Mali (census, 2010)[1]",Fatoumata,Mariam,Aminata,Hawa,Awa,Oumou,Djeneba,Bintou,Fanta,Kadiatou,,,,,,,,,,,,,
