,assistant:p<0.05,assistant:signif_coeff,babysitter:p<0.05,babysitter:signif_coeff,barber:p<0.05,barber:signif_coeff,barista:p<0.05,barista:signif_coeff,bartender:p<0.05,bartender:signif_coeff,bus_driver:p<0.05,bus_driver:signif_coeff,caretaker:p<0.05,caretaker:signif_coeff,carpenter:p<0.05,carpenter:signif_coeff,chef:p<0.05,chef:signif_coeff,cleaner:p<0.05,cleaner:signif_coeff,clerk:p<0.05,clerk:signif_coeff,construction_worker:p<0.05,construction_worker:signif_coeff,consultant:p<0.05,consultant:signif_coeff,contractor:p<0.05,contractor:signif_coeff,cook:p<0.05,cook:signif_coeff,doctor:p<0.05,doctor:signif_coeff,driver:p<0.05,driver:signif_coeff,editor:p<0.05,editor:signif_coeff,guard:p<0.05,guard:signif_coeff,housekeeper:p<0.05,housekeeper:signif_coeff,janitor:p<0.05,janitor:signif_coeff,journalist:p<0.05,journalist:signif_coeff,laborer:p<0.05,laborer:signif_coeff,lawyer:p<0.05,lawyer:signif_coeff,maid:p<0.05,maid:signif_coeff,manager:p<0.05,manager:signif_coeff,mechanic:p<0.05,mechanic:signif_coeff,model:p<0.05,model:signif_coeff,nurse:p<0.05,nurse:signif_coeff,photographer:p<0.05,photographer:signif_coeff,plumber:p<0.05,plumber:signif_coeff,prostitute:p<0.05,prostitute:signif_coeff,receptionist:p<0.05,receptionist:signif_coeff,reporter:p<0.05,reporter:signif_coeff,sales_clerk:p<0.05,sales_clerk:signif_coeff,sales_representative:p<0.05,sales_representative:signif_coeff,salesman:p<0.05,salesman:signif_coeff,secretary:p<0.05,secretary:signif_coeff,security_guard:p<0.05,security_guard:signif_coeff,social_worker:p<0.05,social_worker:signif_coeff,supervisor:p<0.05,supervisor:signif_coeff,taxi_driver:p<0.05,taxi_driver:signif_coeff,teacher:p<0.05,teacher:signif_coeff,technician:p<0.05,technician:signif_coeff,truck_driver:p<0.05,truck_driver:signif_coeff,waiter:p<0.05,waiter:signif_coeff,waitress:p<0.05,waitress:signif_coeff
Intercept,True,-4.767211728827741,True,-2.435777108576079,True,-4.560482705402223,True,-5.871477379590984,True,-3.4449901656259274,True,-5.152906163774147,False,0.0,True,-3.88882608901303,True,-3.595934895073719,True,-6.766959469017045,True,-3.6008623267716957,True,-4.409957382339023,True,-3.457859779123404,True,-3.5338838228211156,True,-4.179459131993625,True,-4.223404320055849,True,-3.6208052781440627,True,-5.918125510017234,True,-7.3552576428812815,True,-4.679426956594464,True,-3.457859779123401,True,-4.162392542996004,True,-4.9328025286466,True,-4.162392542995949,False,0.0,True,-3.067651892417187,True,-3.324162808410835,False,0.0,True,-4.388645307852662,True,-4.288260074628336,True,-4.651770051191722,True,-8.965210635100664,True,-4.027695136671573,True,-4.767211728827699,True,-5.743259565198394,True,-5.322881601193546,True,-3.7210588029285323,True,-7.8663418503888325,True,-2.3899769151090497,True,-8.965288724195524,True,-4.638218040034318,True,-4.214464047539509,True,-4.012942017519427,True,-4.0502263035080235,True,-4.096815465358424,True,-3.2757534975496543,True,-3.8257734503179024
asian,False,0.0,False,0.0,False,0.0,True,0.9020648013186588,True,-0.4052929466202805,False,0.0,False,0.0,False,0.0,False,0.0,True,2.599687755759755,False,0.0,False,0.0,True,-0.35410559886392234,True,-0.6072311089027446,True,0.43429169383943755,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-3.301364753906089,True,-0.28766864972307127,False,0.0,False,0.0,True,-0.3094817899774471,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-2.0798642393425912,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.3834579501793834,False,0.0,True,-2.090942063894721,True,0.5209505385197132,False,0.0,True,-1.9303901414496634,False,0.0,True,0.8966711584303999,False,0.0
black,True,-0.48277690553628294,False,0.0,True,0.5267868037470068,False,0.0,True,0.6116350881699996,False,0.0,False,0.0,False,0.0,True,-0.5276692758502719,False,0.0,False,0.0,True,-0.45811673353710025,True,-2.8199913588051584,True,-0.884279691036688,True,0.26401731981669535,False,0.0,False,0.0,False,0.0,True,3.329360844473864,False,0.0,True,0.49193907199356784,True,-0.44237215538769314,False,0.0,False,0.0,False,0.0,True,-0.7044246297996634,False,0.0,False,0.0,True,0.4376744033501309,False,0.0,False,0.0,True,5.280712349002361,True,-0.6047388792379248,False,0.0,True,-1.228677028273453,True,-1.1965338192058923,False,0.0,False,0.0,True,-0.18031811714986212,False,0.0,True,-3.181552175959169,False,0.0,True,-0.2973824511357151,True,-2.2276248344205243,True,0.32473894314157475,True,0.6620858020993582,True,0.40728617894098906
hispanic,False,0.0,False,0.0,True,-0.827065794873756,True,1.0855145828292152,True,0.39568822716820756,False,0.0,False,0.0,False,0.0,True,-0.44697601203353376,True,0.8254041330306708,False,0.0,True,0.5664104646603157,True,-0.8961978215661468,False,0.0,True,0.34261052939664577,False,0.0,True,0.292878544348214,True,-2.9703553377056036,False,0.0,True,0.33632000511912047,True,0.8488557689442372,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.21275868206685322,False,0.0,True,0.44650083312635097,False,0.0,True,-3.5434256381483533,False,0.0,True,0.44460145869391404,True,-4.121269118895134,True,0.7112931226996347,False,0.0,True,-0.4334901247474442,False,0.0,False,0.0,True,3.866947849704774,True,-1.2519056794119914,False,0.0,False,0.0,True,-0.38394620318226336,True,0.569886758908796,True,0.5413566061794023,True,0.37557238895224876
white,False,0.0,False,0.0,False,0.0,False,0.0,True,0.2776846818294144,False,0.0,False,0.0,True,0.2358465522139091,False,0.0,False,0.0,True,0.24287780601456604,False,0.0,True,-0.5985340964535387,True,-0.32745690694245155,False,0.0,False,0.0,False,0.0,False,0.0,True,2.783765119616857,False,0.0,True,0.36667833069918354,False,0.0,False,0.0,True,0.4482755913850983,False,0.0,True,-0.3578606850769874,False,0.0,False,0.0,False,0.0,True,-0.3371155583995418,False,0.0,False,0.0,True,-0.5570037774747568,True,0.41881728555849834,False,0.0,True,-0.7672297988178128,False,0.0,True,3.0089381184084107,True,-0.3909764975694103,False,0.0,True,-2.2068636444197245,False,0.0,False,0.0,True,-1.4053618702035098,False,0.0,True,0.5305178621514155,True,0.28536117224610663
woman,True,1.1175428356343486,True,-2.3876209664273533,True,-1.7571975781597782,True,0.631797281686235,False,0.0,True,-1.725162804837623,False,0.0,True,-0.8266921541439435,False,0.0,False,0.0,True,-1.1001373846569107,True,-0.7587171253241839,True,-0.19180911406995985,True,-2.477770273623076,True,0.5087489248422092,True,-0.3302126287306705,True,-2.038418806483503,False,0.0,False,0.0,True,0.6052851016898402,True,-0.4981145658885618,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.36606977834361754,True,-2.587149898084682,False,0.0,True,2.1382772968407324,True,-1.6719717701879173,False,0.0,True,4.757641837816937,True,1.0677118030673292,False,0.0,True,-1.0168975930481925,False,0.0,True,-4.138483043612519,True,1.3071133863768183,True,-1.1322865972342615,True,4.9143544020625045,True,-1.9210108235730146,True,-0.8459327561158356,True,0.7405921791693615,True,-1.2142757145452898,True,-4.168320164578797,True,-0.9497759564158409,True,1.9034692349171867
woman:asian,True,-0.9755348214931454,False,0.0,False,0.0,False,0.0,True,-0.38241486781097167,True,1.2916661409170853,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.8442318931715522,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,1.6614942061677007,False,0.0,False,0.0,True,0.9002853104173029,False,0.0,True,-0.32355705913902205,False,0.0
woman:black,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.38259729248244884,True,1.6043553403907438,False,0.0,False,0.0,False,0.0,True,1.7237025329036437,False,0.0,False,0.0,True,1.8680027216745383,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-3.731861841899615,False,0.0,False,0.0,True,1.9451771541666685,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.43724409459696684,True,1.5143808725534469,False,0.0,True,-4.035381467358948,False,0.0,False,0.0,True,1.5198423010475732,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,2.3954161991496483,False,0.0,True,0.3916784591378351,False,0.0,False,0.0,True,-0.43943226327056356,False,0.0
woman:hispanic,False,0.0,False,0.0,False,0.0,True,-0.9706286843837069,True,-0.3424535708393401,True,1.7449656213700573,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.5372665018592857,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,1.208439496567506,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.4759818977628724,False,0.0,False,0.0,True,0.7332024646490874,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,1.967846220931193,False,0.0,False,0.0,True,-3.992217328398767,True,2.0132823270060456,False,0.0,False,0.0,False,0.0,True,3.0899398057956153,True,-0.44688091517662754,True,-0.3117299781643383
woman:white,True,-0.6416023258068473,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.8684835515052637,False,0.0,False,0.0,False,0.0,True,1.640011702068412,False,0.0,True,-0.4693849293191984,False,0.0,False,0.0,False,0.0,True,-115.93495701188476,False,0.0,True,1.7983510716859663,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,1.7961675829060357,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0
