,assistant:p<0.05,assistant:signif_coeff,babysitter:p<0.05,babysitter:signif_coeff,baker:p<0.05,baker:signif_coeff,barber:p<0.05,barber:signif_coeff,barista:p<0.05,barista:signif_coeff,bouncer:p<0.05,bouncer:signif_coeff,bus_driver:p<0.05,bus_driver:signif_coeff,butcher:p<0.05,butcher:signif_coeff,carpenter:p<0.05,carpenter:signif_coeff,chauffeur:p<0.05,chauffeur:signif_coeff,chef:p<0.05,chef:signif_coeff,cleaner:p<0.05,cleaner:signif_coeff,clerk:p<0.05,clerk:signif_coeff,construction_worker:p<0.05,construction_worker:signif_coeff,consultant:p<0.05,consultant:signif_coeff,contractor:p<0.05,contractor:signif_coeff,cook:p<0.05,cook:signif_coeff,counselor:p<0.05,counselor:signif_coeff,courier:p<0.05,courier:signif_coeff,doctor:p<0.05,doctor:signif_coeff,driver:p<0.05,driver:signif_coeff,farmer:p<0.05,farmer:signif_coeff,gardener:p<0.05,gardener:signif_coeff,housekeeper:p<0.05,housekeeper:signif_coeff,housewife:p<0.05,housewife:signif_coeff,janitor:p<0.05,janitor:signif_coeff,journalist:p<0.05,journalist:signif_coeff,laborer:p<0.05,laborer:signif_coeff,lawyer:p<0.05,lawyer:signif_coeff,librarian:p<0.05,librarian:signif_coeff,maid:p<0.05,maid:signif_coeff,manager:p<0.05,manager:signif_coeff,massage_therapist:p<0.05,massage_therapist:signif_coeff,mechanic:p<0.05,mechanic:signif_coeff,missionary:p<0.05,missionary:signif_coeff,model:p<0.05,model:signif_coeff,monk:p<0.05,monk:signif_coeff,nun:p<0.05,nun:signif_coeff,nurse:p<0.05,nurse:signif_coeff,painter:p<0.05,painter:signif_coeff,paralegal:p<0.05,paralegal:signif_coeff,photographer:p<0.05,photographer:signif_coeff,plumber:p<0.05,plumber:signif_coeff,porter:p<0.05,porter:signif_coeff,priest:p<0.05,priest:signif_coeff,prostitute:p<0.05,prostitute:signif_coeff,rabbi:p<0.05,rabbi:signif_coeff,receptionist:p<0.05,receptionist:signif_coeff,secretary:p<0.05,secretary:signif_coeff,security_guard:p<0.05,security_guard:signif_coeff,servant:p<0.05,servant:signif_coeff,shepherd:p<0.05,shepherd:signif_coeff,shopkeeper:p<0.05,shopkeeper:signif_coeff,social_worker:p<0.05,social_worker:signif_coeff,tailor:p<0.05,tailor:signif_coeff,taxi_driver:p<0.05,taxi_driver:signif_coeff,teacher:p<0.05,teacher:signif_coeff,technician:p<0.05,technician:signif_coeff,translator:p<0.05,translator:signif_coeff,truck_driver:p<0.05,truck_driver:signif_coeff,waiter:p<0.05,waiter:signif_coeff,waitress:p<0.05,waitress:signif_coeff,writer:p<0.05,writer:signif_coeff
Intercept,True,-4.767211728827733,False,0.0,True,-8.271931834849024,True,-4.5604827054022214,True,-5.87147737959126,True,-3.921842998766824,True,-5.152906182062172,False,0.0,True,-3.8888260890130106,True,-7.866339193892919,True,-3.5959348950737438,True,-6.76695946901631,True,-3.600862326771673,True,-4.409957514433028,True,-3.457859779123399,True,-3.5338838228211134,True,-4.179459131993551,True,-8.965212471367824,True,-4.188099372624993,True,-4.2234043200558204,True,-3.6208052781440814,False,0.0,True,-8.96520682876324,True,-4.679426956594594,True,-8.96520680276708,True,-3.4578597791234165,True,-4.162392542995912,True,-4.932802444474104,True,-4.162392542995934,True,-8.965206802767701,False,0.0,True,-3.06765189241718,False,0.0,True,-3.3241628084108426,False,0.0,False,0.0,False,0.0,False,0.0,True,-4.388645308340863,True,-7.1727922473413885,False,0.0,True,-4.288260082317842,True,-4.651769923802979,False,0.0,False,0.0,True,-8.965206849100175,False,0.0,True,-4.0276952061416935,True,-7.866338923045897,True,-2.389976915118772,False,0.0,False,0.0,True,-8.27192799823644,True,-8.96521535926867,False,0.0,True,-4.214464097448533,True,-4.012942017519441,True,-4.050226346085948,True,-7.578529030564126,True,-4.096815403092995,True,-3.2757534975496423,True,-3.8257734503178917,True,-3.6937360629263325
buddhist,True,-1.0387662581431412,False,0.0,True,1.81058385802667,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.31197594796283795,True,2.2761951299230376,True,-0.29368329791406467,False,0.0,True,0.3030321874027606,False,0.0,True,-1.165780750308505,True,-4.3950025684461185,True,0.6700128480976996,False,0.0,True,0.3919350261456614,True,1.2015309341147853,True,-2.0022490688067496,False,0.0,False,0.0,True,-1.6385797341718857,True,3.272918707536597,True,0.33975946674843077,False,0.0,False,0.0,False,0.0,True,2.7118588760295497,False,0.0,True,-1.3429621991086065,False,0.0,True,-0.7972555379635834,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,2.9802092455297804,False,0.0,True,-2.65919656351585,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,3.6060903625438767,False,0.0,False,0.0,False,0.0,True,3.441676745190402,False,0.0,False,0.0,False,0.0,True,1.5907101382682167,False,0.0,True,4.433474993401819,False,0.0,True,-0.17572103740352285,True,-3.8153107988570065,False,0.0
christian,True,-0.7486083091444331,False,0.0,True,4.584078548090399,True,0.3431324983661357,False,0.0,False,0.0,False,0.0,False,0.0,True,0.4482270759075354,False,0.0,True,-0.9849931941104516,False,0.0,True,0.7683116293502662,False,0.0,True,-4.83431310096581,True,-3.659175703826841,True,0.5528663080864825,False,0.0,False,0.0,True,1.0979238427871731,True,-0.4054388713740849,False,0.0,True,4.63713390681151,False,0.0,False,0.0,False,0.0,True,-2.51934004392118,True,0.7241630378604117,False,0.0,True,3.5951975077635288,False,0.0,True,-1.2411190918244053,False,0.0,True,-0.2682726457975274,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,3.124504362391827,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,5.277353562341547,False,0.0,False,0.0,True,3.4141425734051962,True,-2.5278622776072064,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.6791802788956344,True,-4.93521894153684,True,3.27927468217411,True,-0.6756384623245544,False,0.0,True,-0.40036186005096464,True,-0.6055182854636783
hindu,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-4.988742760748704,True,0.9483505020757357,False,0.0,True,0.22927024974557864,True,3.4098055070444784,True,-0.2974010767683073,True,3.316832695895949,False,0.0,True,-0.8319251592882116,True,-1.3503872960285856,True,-0.6162655805698045,True,0.6197998198239211,False,0.0,False,0.0,True,0.39682889771936325,False,0.0,False,0.0,True,4.532203041854068,False,0.0,True,2.2529258671571903,True,0.48595484164998226,True,0.41067638265735434,True,-3.977783273816061,False,0.0,True,3.6972130045044476,False,0.0,True,-1.0308163869887856,False,0.0,True,-0.27641232431465673,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-2.135933402819717,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-3.784008281516056,True,3.335783166553325,True,-1.078406150494628,False,0.0,False,0.0,True,3.9279858803256666,False,0.0,False,0.0,True,0.4747202199688478,True,0.5807640126092681,True,-3.2503815029534313,False,0.0,False,0.0,True,0.8076832396542318,False,0.0,True,-0.4131681840980448
jewish,True,-1.4156021294459153,False,0.0,True,4.064406177903908,True,0.3695968909563712,False,0.0,True,-5.096133361273547,False,0.0,False,0.0,True,0.25818267971329956,True,3.6836736287447542,True,-0.7268478192691654,False,0.0,True,0.4840508685323863,False,0.0,True,-3.073867827404015,True,-3.537446970133787,True,0.3592045631544576,False,0.0,True,-0.4637832172482937,True,1.136030202984945,True,-0.6561066317052124,False,0.0,True,4.411942119574217,True,0.3844116989103491,False,0.0,True,0.17364877067169085,False,0.0,True,0.4477141300943467,True,0.6672576653414223,True,4.09791658237805,False,0.0,True,-1.0515084578588985,False,0.0,True,-0.2501783402115993,False,0.0,False,0.0,False,0.0,False,0.0,True,0.4524855718721319,True,3.098822883790018,False,0.0,True,-2.019959784727677,False,0.0,False,0.0,False,0.0,True,4.853716879923095,False,0.0,False,0.0,True,3.3012557076567175,True,-1.5526556049687275,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.5220388047400003,True,-4.2744737332146325,True,4.153139474205165,True,-0.42179282943619417,True,0.8049426175620323,True,-0.3246511088134285,False,0.0
muslim,False,0.0,False,0.0,True,3.6794088562620004,False,0.0,False,0.0,False,0.0,True,0.8548652034613751,False,0.0,True,0.49154151279012553,True,3.1429074542777884,True,-0.4176245295738248,True,3.1225378219788946,False,0.0,False,0.0,True,-3.368278637186411,True,-0.5437914095794906,True,0.5882537606132934,False,0.0,False,0.0,True,0.38795781432470944,True,0.23213415630111678,False,0.0,True,3.871320304508684,False,0.0,False,0.0,True,0.5607462614886722,False,0.0,True,-3.973726473120381,False,0.0,False,0.0,False,0.0,True,-1.0183244201344077,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.3663123108467688,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.8106371423729573,False,0.0,True,-0.438226756970222,False,0.0,False,0.0,True,3.2637446873863794,False,0.0,False,0.0,True,1.0530761524529628,False,0.0,True,-2.2154821709815953,True,3.7816536476573512,False,0.0,True,1.1486432248274325,False,0.0,False,0.0
woman,True,1.1175428356343475,False,0.0,False,0.0,True,-1.7571975781599247,True,0.6317972816865526,True,-0.5712257488029651,True,-1.725162735735339,False,0.0,True,-0.8266921541439275,False,0.0,False,0.0,False,0.0,True,-1.1001373846569469,True,-0.7587167141250672,True,-0.19180911407000226,True,-2.477770273623097,True,0.5087489248421353,True,3.145129664595402,True,-3.671448589719554,True,-0.3302126287306751,True,-2.038418806483514,False,0.0,False,0.0,True,0.6052851016900055,True,2.781315677007064,True,-0.498114565888531,True,-1.9034577154705565,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.3660697783436223,False,0.0,True,-2.587149898084702,False,0.0,False,0.0,False,0.0,False,0.0,True,2.138277297363457,False,0.0,False,0.0,True,-1.6719717410748054,False,0.0,False,0.0,False,0.0,True,4.757638034966229,False,0.0,True,1.06771188537737,True,1.3071100594386684,True,-1.1322865972249663,False,0.0,False,0.0,False,0.0,True,4.914280756565756,False,0.0,True,-0.8459326486320317,True,0.7405921791693828,True,-1.2142756015077378,False,0.0,True,-4.168324150421052,True,-0.9497759564158554,True,1.9034692349171798,False,0.0
woman:buddhist,False,0.0,False,0.0,False,0.0,True,1.195526539546389,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.36713920927570853,True,2.513974048956855,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,2.8046909051813214,True,-0.6955371375550428,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-1.5597794214729577,False,0.0,True,-0.9561863789635989,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-2.290996887861291,False,0.0,True,1.6034595232861073,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.6598853254936567,False,0.0,False,0.0,False,0.0,False,0.0,True,3.251736614549424,True,-0.7876393508663221
woman:christian,False,0.0,False,0.0,True,-1.789236321158691,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,2.388555309272493,False,0.0,False,0.0,True,3.5543595751664587,False,0.0,True,-0.4862608150910847,False,0.0,False,0.0,True,-0.6038210913707883,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.9204855520986416,False,0.0,False,0.0,True,0.41757236842571394,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-3.856043651244095,False,0.0,False,0.0,False,0.0,True,1.3779553267024984,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.6511322282277732,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.33448010604817774,False,0.0
woman:hindu,True,-0.4691408612467193,False,0.0,False,0.0,True,0.7300414448331227,False,0.0,False,0.0,True,1.2084332511779954,False,0.0,False,0.0,False,0.0,True,-0.49887629345897816,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,1.1271364323237307,False,0.0,False,0.0,True,-0.5995484474165297,False,0.0,False,0.0,True,1.4819061134471325,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,2.830561137084353,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,True,-0.35814948217116654,False,0.0,True,3.1594171885581863,False,0.0,True,-0.35470315073698755,False,0.0,True,-4.045956365347384
